Neighbourhood,Indicator,Year,Forecast,MAE,RMSE,Model
AMC,Total population,2026,31.521975446179695,3.3333333084980645,4.082482874221762,EXP
AMC,Total population,2027,31.521975446179695,3.3333333084980645,4.082482874221762,EXP
AMC,Total population,2028,31.521975446179695,3.3333333084980645,4.082482874221762,EXP
Aalsmeerwegbuurt Oost,Total population,2026,2165.0,0.0,0.0,EXP
Aalsmeerwegbuurt Oost,Total population,2027,2165.0,0.0,0.0,EXP
Aalsmeerwegbuurt Oost,Total population,2028,2165.0,0.0,0.0,EXP
Aalsmeerwegbuurt West,Total population,2026,2534.999999925494,10.000000074505806,10.000000074505806,EXP
Aalsmeerwegbuurt West,Total population,2027,2534.999999925494,10.000000074505806,10.000000074505806,EXP
Aalsmeerwegbuurt West,Total population,2028,2534.999999925494,10.000000074505806,10.000000074505806,EXP
Afrikahaven,Total population,2026,5.0,2.9605947323337506e-16,5.127900497022837e-16,EXP
Afrikahaven,Total population,2027,5.0,2.9605947323337506e-16,5.127900497022837e-16,EXP
Afrikahaven,Total population,2028,5.0,2.9605947323337506e-16,5.127900497022837e-16,EXP
Alexanderplein e.o.,Total population,2026,394.9999999254942,3.2674418604650746,4.002596281986771,EXP
Alexanderplein e.o.,Total population,2027,394.9999999254942,3.2674418604650746,4.002596281986771,EXP
Alexanderplein e.o.,Total population,2028,394.9999999254942,3.2674418604650746,4.002596281986771,EXP
Amerikahaven,Total population,2026,7.450580596923827e-08,3.3333333581686007,4.082482904638629,EXP
Amerikahaven,Total population,2027,7.450580596923827e-08,3.3333333581686007,4.082482904638629,EXP
Amerikahaven,Total population,2028,7.450580596923827e-08,3.3333333581686007,4.082482904638629,EXP
Amstel III deel A/B Noord,Total population,2026,74.99999985098839,10.0,10.0,EXP
Amstel III deel A/B Noord,Total population,2027,74.99999985098839,10.0,10.0,EXP
Amstel III deel A/B Noord,Total population,2028,74.99999985098839,10.0,10.0,EXP
Amstel III deel A/B Zuid,Total population,2026,1460.2326228593743,954.9999857693911,954.9999857693911,EXP
Amstel III deel A/B Zuid,Total population,2027,1460.2326228593743,954.9999857693911,954.9999857693911,EXP
Amstel III deel A/B Zuid,Total population,2028,1460.2326228593743,954.9999857693911,954.9999857693911,EXP
Amstel III deel C/D Noord,Total population,2026,24.999999925494194,0.08255813953489266,0.08255813953489266,EXP
Amstel III deel C/D Noord,Total population,2027,24.999999925494194,0.08255813953489266,0.08255813953489266,EXP
Amstel III deel C/D Noord,Total population,2028,24.999999925494194,0.08255813953489266,0.08255813953489266,EXP
Amstel III deel C/D Zuid,Total population,2026,4.999999925494195,0.31279069767441925,0.31279069767441925,EXP
Amstel III deel C/D Zuid,Total population,2027,4.999999925494195,0.31279069767441925,0.31279069767441925,EXP
Amstel III deel C/D Zuid,Total population,2028,4.999999925494195,0.31279069767441925,0.31279069767441925,EXP
Amstel III/BulleDistrict,Total population,2026,1625.0000334531069,1171.6666745891173,1418.7641353031674,EXP
Amstel III/BulleDistrict,Total population,2027,1625.0000334531069,1171.6666745891173,1418.7641353031674,EXP
Amstel III/BulleDistrict,Total population,2028,1625.0000334531069,1171.6666745891173,1418.7641353031674,EXP
