Districts & Neigbourhoods,Type of region,Regioncode,Total population,Man,Woman,Population| Age group |0 tot 15 year,Population| Age group |15 tot 25 year,Population| Age group |25 tot 45 year,Population| Age group |45 tot 65 year,Population| Age group |65+ year,Births,Deaths,Total households,Single-person households,Households without children,Households with children,Average household size,Care|Young people receiving youth care,Healthcare|Wmo clients,ZIPcode,Year,children_0_15,youth_15_25,families_children,elderly_65_plus,single_households_ind,youth_care_users,wmo_users,youth_care_rate,wmo_rate,children_0_15_growth,youth_15_25_growth,elderly_65_plus_growth,families_children_growth,single_households_ind_growth
Filips van Almondekwartier,Neighbourhood,BU0363EN01,1105.0,565.0,545.0,120.0,130.0,530.0,240.0,85.0,10.0,5.0,660.0,380.0,170.0,115.0,1.7,20.0,50.0,1057.0,2023,120.0,130.0,115.0,85.0,380.0,20.0,50.0,18.09954751131222,45.24886877828054,-0.040000000000000036,-0.0714285714285714,0.0,0.045454545454545414,-0.02564102564102566
Filips van Almondekwartier,Neighbourhood,BU0363EN01,1095.0,555.0,535.0,115.0,120.0,540.0,230.0,90.0,20.0,5.0,650.0,365.0,175.0,105.0,1.7,20.0,60.0,1057.0,2024,115.0,120.0,105.0,90.0,365.0,20.0,60.0,18.2648401826484,54.794520547945204,-0.04166666666666663,-0.07692307692307687,0.05882352941176472,-0.08695652173913049,-0.03947368421052633
Filips van Almondekwartier,Neighbourhood,BU03637501,1075.0,555.0,525.0,135.0,125.0,515.0,225.0,80.0,20.0,10.0,650.0,395.0,140.0,115.0,1.7,20.0,45.0,1057.0,2025,135.0,125.0,115.0,80.0,395.0,20.0,45.0,18.6046511627907,41.860465116279066,0.17391304347826098,0.04166666666666674,-0.11111111111111116,0.09523809523809534,0.08219178082191791
Flevopark,Neighbourhood,BU03633203,15.0,10.0,5.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.4,0.0,0.0,1095.0,2020,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,,,,
Flevopark,Neighbourhood,BU03633203,20.0,5.0,10.0,5.0,5.0,10.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,1.6,0.0,0.0,1095.0,2021,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,inf,0.0,,,-0.5
Flevopark,Neighbourhood,BU03633203,15.0,5.0,10.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,1.7,0.0,0.0,1095.0,2022,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,0.0
Flevopark,Neighbourhood,BU0363MG04,20.0,10.0,10.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,5.0,0.0,1.5,0.0,0.0,1095.0,2023,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,inf,,,1.0
Flevopark,Neighbourhood,BU0363MG04,15.0,10.0,10.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,1.7,0.0,0.0,1095.0,2024,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,,-1.0,inf,,0.0
Flevopark,Neighbourhood,BU03633203,20.0,5.0,10.0,5.0,5.0,10.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,1.6,0.0,0.0,1095.0,2025,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,inf,inf,-1.0,,-0.5
Frankendael,District,WK036355,11640.0,5820.0,5815.0,1495.0,1500.0,4380.0,2535.0,1725.0,155.0,150.0,6520.0,3950.0,1290.0,1280.0,1.7,235.0,1215.0,0.0,2020,1495.0,1500.0,1280.0,1725.0,3950.0,235.0,1215.0,20.18900343642612,104.38144329896907,,,,,
Frankendael,Neighbourhood,BU03635504,10.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.5,0.0,0.0,1097.0,2020,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.9987341772151899
Frankendael,District,WK036355,11895.0,5970.0,5925.0,1520.0,1520.0,4520.0,2595.0,1730.0,165.0,125.0,6685.0,4040.0,1330.0,1315.0,1.7,260.0,1120.0,0.0,2021,1520.0,1520.0,1315.0,1730.0,4040.0,260.0,1120.0,21.85792349726776,94.15720891130726,inf,inf,inf,inf,807.0
Frankendael,Neighbourhood,BU03635504,15.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,1.6,0.0,0.0,1097.0,2021,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-0.9967105263157895,-1.0,-1.0,-1.0,-0.9987623762376238
Frankendael,District,WK036355,12270.0,6110.0,6155.0,1595.0,1575.0,4625.0,2680.0,1795.0,120.0,135.0,6950.0,4255.0,1335.0,1360.0,1.7,275.0,1160.0,0.0,2022,1595.0,1575.0,1360.0,1795.0,4255.0,275.0,1160.0,22.41238793806031,94.5395273023635,318.0,inf,inf,inf,850.0
Frankendael,Neighbourhood,BU03635504,15.0,5.0,10.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,1.7,0.0,0.0,1097.0,2022,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-0.9968652037617555,-1.0,-1.0,-1.0,-0.9988249118683902
Frankendael,District,WK0363MM,12570.0,6320.0,6250.0,1615.0,1635.0,4760.0,2740.0,1820.0,165.0,120.0,7070.0,4350.0,1340.0,1385.0,1.7,290.0,1120.0,0.0,2023,1615.0,1635.0,1385.0,1820.0,4350.0,290.0,1120.0,23.070803500397773,89.10103420843278,322.0,inf,inf,inf,869.0
Frankendael,Neighbourhood,BU0363MM05,15.0,5.0,10.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.8,0.0,0.0,1097.0,2023,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-0.9969040247678018,-1.0,-1.0,-1.0,-0.9988505747126437
Frankendael,District,WK0363MM,13350.0,6765.0,6585.0,1670.0,1805.0,5230.0,2885.0,1765.0,140.0,95.0,7300.0,4550.0,1360.0,1395.0,1.6,280.0,1125.0,0.0,2024,1670.0,1805.0,1395.0,1765.0,4550.0,280.0,1125.0,20.973782771535582,84.26966292134831,333.0,inf,inf,inf,909.0
Frankendael,Neighbourhood,BU0363MM05,10.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.3,0.0,0.0,1097.0,2024,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9970059880239521,-1.0,-1.0,-0.996415770609319,-1.0
Frankendael,District,WK036355,11895.0,5970.0,5925.0,1520.0,1520.0,4520.0,2595.0,1730.0,165.0,125.0,6685.0,4040.0,1330.0,1315.0,1.7,260.0,1120.0,0.0,2025,1520.0,1520.0,1315.0,1730.0,4040.0,260.0,1120.0,21.85792349726776,94.15720891130726,303.0,inf,inf,262.0,inf
Frankendael,Neighbourhood,BU03635504,15.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,1.6,0.0,0.0,1097.0,2025,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-0.9967105263157895,-1.0,-1.0,-1.0,-0.9987623762376238
Frans Halsbuurt,Neighbourhood,BU03632402,2645.0,1315.0,1330.0,235.0,275.0,1330.0,580.0,225.0,20.0,10.0,1745.0,1115.0,390.0,235.0,1.5,20.0,85.0,1072.0,2020,235.0,275.0,235.0,225.0,1115.0,20.0,85.0,7.561436672967864,32.136105860113425,,,,,
Frans Halsbuurt,Neighbourhood,BU03632402,2615.0,1300.0,1315.0,220.0,260.0,1300.0,595.0,240.0,30.0,15.0,1725.0,1100.0,400.0,230.0,1.5,30.0,75.0,1072.0,2021,220.0,260.0,230.0,240.0,1100.0,30.0,75.0,11.472275334608032,28.680688336520074,-0.06382978723404253,-0.054545454545454564,0.06666666666666665,-0.021276595744680882,-0.013452914798206317
Frans Halsbuurt,Neighbourhood,BU03632402,2600.0,1295.0,1305.0,210.0,295.0,1265.0,590.0,245.0,20.0,5.0,1745.0,1145.0,380.0,220.0,1.5,40.0,90.0,1072.0,2022,210.0,295.0,220.0,245.0,1145.0,40.0,90.0,15.384615384615385,34.61538461538462,-0.045454545454545414,0.13461538461538458,0.02083333333333326,-0.04347826086956519,0.040909090909091006
Frans Halsbuurt,Neighbourhood,BU0363KE01,2580.0,1275.0,1305.0,185.0,325.0,1230.0,580.0,260.0,25.0,10.0,1720.0,1110.0,390.0,220.0,1.5,40.0,90.0,1072.0,2023,185.0,325.0,220.0,260.0,1110.0,40.0,90.0,15.503875968992247,34.883720930232556,-0.11904761904761907,0.10169491525423724,0.061224489795918435,0.0,-0.03056768558951961
Frans Halsbuurt,Neighbourhood,BU0363KE01,2640.0,1310.0,1330.0,190.0,355.0,1265.0,565.0,270.0,25.0,10.0,1780.0,1155.0,405.0,220.0,1.5,35.0,85.0,1072.0,2024,190.0,355.0,220.0,270.0,1155.0,35.0,85.0,13.257575757575758,32.196969696969695,0.027027027027026973,0.0923076923076922,0.03846153846153855,0.0,0.04054054054054057
Frans Halsbuurt,Neighbourhood,BU03632402,2615.0,1300.0,1315.0,220.0,260.0,1300.0,595.0,240.0,30.0,15.0,1725.0,1100.0,400.0,230.0,1.5,30.0,75.0,1072.0,2025,220.0,260.0,230.0,240.0,1100.0,30.0,75.0,11.472275334608032,28.680688336520074,0.1578947368421053,-0.2676056338028169,-0.11111111111111116,0.045454545454545414,-0.04761904761904767
